,아이디,댓글 내용
125,  Sally,울지말자요... 서로 또 인연이되면 돌고 돌아서라도 만날거예요.. 이런 아픈경험도 어쩌면 더 성숙한 계기가 될지도... 아픔만큼 보는 안목도 길러질테고 더 단단해질거예요. 좋은 추억으로 간직해요..
126,  강아지짖는소리,규민아 가끔은 너 자신을 챙겨도 된다. 다른사람 상처 안줄려고 너가 너 자신한테 상처주는건 나는 정말 안타깝다.
127,  유자차,저저번주까지 규민이 정말 많이 미워했는데 ㅠㅠㅠㅠㅠ 마음이 너무 아파서 애려요 규민씨 행복하세요 꼭 좋은 사람 만나서 행복 해주세요
128,  fdfs,해은이가 아파하는만큼 규민이도 너무 아파했었다는게 보이네요 ㅠㅠ 둘다 너무 멋진 사람들이에요.
129,  Miya,"헛된 기대감을 주고싶지 않아 애초에 곁을 주지 않고 시작했던 규민의 배려가 해은에겐 아무것도 시도조차 할 수 없었던 시간들이었고..  비로소 마주하고 흔들렸다는 규민에게서 이랬다면, 저랬다면 어땠을지를 물으며 해은이 그토록 간절히 바랐던.. 단한번만이라도 듣고자했고, 보고자했던 것들을 뒤늦게 듣는순간 서럽고 아쉽고  이렇게라도 알게되어 기쁘고..이 모든순간들이 그저 처음부터 끝까지 갖지못하고 끝남에 더욱더 가슴아파 흘리는 눈물이여서 보는 나도 같이 눈물이 나는..아픈사랑도 슬픈사랑도 내 삶의 일부고, 내 기억의 한조각이고, 그순간들의 나도 내 자신이였어서 잊으려한다고해서 잊혀지고, 새로운 사랑으로 덮는다해서 가려지는게 아니다보니 그저 내 성장기의 한 부분처럼 과거속에 묻어두게 되는거 같습니다때때로 자연스럽게 생각나고,  그러다 해를 거듭할수록 아픔도 무뎌지고, 그렇게 흘러가는 시간속에서 이사랑도 연해져 지금보단 덜 아픈 기억으로 마주하게 될 날이 올테니 두분모두 각자의 인연으로 행복하고 예쁜 사랑하셨음 좋겠다는 바람이네요"
130,  ??????,규민이도 이젠 행복한 일들로만 가득하길…
131,  밍밍,10:36 여기 해은이 하는 말이랑 배경음악깔리는거 미쳤네……무슨 영화씬이라고해도 믿겠어 먹먹한 회한이 담긴 말을 내뱉는톤이랑ㅠ음악이ㅜㅜㅜ
132,  탱이,저도29살이고 10년째 연애중인데  해은규민보면서 같은나이에 연애시작시기도 비슷해서 너무 공감가고  X룸도 저와너무똑같은 추억들이 쌓여있어서 같이울었었어요. 7년이든 10년이든 20대의 대부분을 함께보낸 그시간은 진짜 무시못하는게 맞아요.  해은규민 덕분에 다시한번 10년이란시간을 되돌아보게해줘서 너무고마워요. 앞으로계속 내옆에있는 사람에게 상처주지않고 행복만주는 사람이될게요.
133,  람쥐,규민.. 너무 성숙한 사람인듯좋은 사람 만났으면 좋겠어요
134,  QM,9:04 여기 해은이 울음터지는 장면이랑 브금 너무 한거아냐 왜케슬퍼ㅠㅠ진심 보고나서 한시간동안 움 ㅠㅠㅠ
135,  Kim,해은이 사귈 때 술 먹고 잠수탔을 때내가 해은을 너무 가둬둔 건 아니었나 반성하는 모습에서 규민 대단하다고 생각했었음.. 그 때가 20대 초중반밖에 안 됐을텐데..
136,  김슌김슌스튜디오,해은이는 환승연애라는 프로그램을 통해 힘들었지만 끝까지 마음을 표현했고 할 수 있는 한 직진해왔음. 현규도 만나고 점점 마음을 정리하는 듯 싶고 마지막까지 규민을 원망도 하고 미워도 하면서 솔직하게 말함. 반면 규민은 내내 마음을 밀어내고 거부하고 사랑하는 사람한테 상처 줬음. 해은이 계속 달라졌을까 이랬을까 하는 말을 반복하는데도 다 받아주고 좋은 말들로 해은의 현재를 더 생각해주는걸 보면 진짜 깊게 사랑했고 위하는게 보인다. 혼자 생각하고 감당하는 성격인 것 같은데 이게 자신을 갉아먹는 경우가 있음. 후회가 정말 무서운 건데 마음을 표현하지 않았던 규민이가 돌이킬 수 없는 후회로 힘들까봐 걱정이 많이 됨. 좋은 사람이니까 새로운 좋은 인연이 꼭 올거라고 확신하지만 그때까지 너무 많이 힘들진 않았으면 좋겠다..!
137,  히열앤나우,규민 정말 생각이 깊고 따뜻한 사람 같아요… 슬프긴하지만 추억에 잠깐 흔들려서 다시 만난다하더라도… 추억속의 그때와는 다를거란 생각이 들어요… 두분 다 각자의 위치에서 행복하시길 바래요
138,  카리브람,규민이너무미웠는데 마지막에 잘가 눈빛 너무마음아프네ㅠㅠㅠ
139,  ? ?,모든 걸 혼자 다 감당해내야햇던 규민철없는 것들 사이에서 진짜 수고 많앗다..
140,  san so,하..둘이 너무 잘 어울렸는데...시간 좀만 더 있었으면 좋았을텐데 ㅜ 해은규민파는 웁니다 ㅜㅜ마음이 너무 아파..둘이 서사 어케 잊어 ㅜ 하..규민이같이 티 안내는 사람이 더 마음아픔..혼자 꾹 참는 거 같아.. 규민이도 제발 행복했으면 좋겠다 해은이는 규민이가 확실하게 잡는 멘트 했으면 규민한테 갔을정도로 규민이가 커 보였음
141,  운조아,첨부터 해은은 규민만한 남자가 없을거라 생각해서 더 미련을 못버렸던거고 이제 규민을 대신할 좋은 사람이 나타났으니  새사랑을 시작하는게 당연한 수순이고 규민은 이런 결말을 언젠가는 맞이 할줄 알고 철벽을 쳤던거 같아 속깊게ㅜㅜ 해은의 마음을 끝까지 위로해주고 보내는 규민도 멋있어
142,  닝닝닝,규민이도 행복해라 ㅠㅠㅠㅠ꼬옥
143,  N,아 둘이 진짜 왜이렇게 슬프냐..저번주부터 눈물버튼
144,  kijul,"아마 제일 후회하는 건 규민일거같다,, 해은은 저기서 너무 마음 후련하게 표현해서 후회없이 미래를 바라볼텐데 규민은 계속 후회를 곱씹어가며 기억을 되새길테니까,, 너무 맴찢 ㅜㅜ"
145,  꽃빵튀김,규민이 무표정이어도 속은 얼마나 무너졌을지 속상하다 
146,  쏭앓이,왜 이렇게 슬프냐…하… 너무 많이 울었다..ㅠㅠ
147,  정소윤,규민이가 행복했으면 좋겠다
148,  호호호,그와중에 현규 혼자 영화찍네ㅋㅋㅋㅋㅋㅋㅋㅋ 개존잘ㅋㅋㅋㅋㅋㅋ
149,  윌렴,진심 환연 1에서 호민이보다 더 한 사람이 나타날 줄이야 .... 삼주 다지나갈때까지 자기 마음을 누르다가 끝에 터질 줄이야..... 하 안타깝지만 나름대로의 엔딩이니까 ... 둘다 행복하길
150,  HENRY PARK,"연애는 드라마같이,결혼은 영화같이 하라는 말을 들었는데해은씨의 드라마 같은 연애를 끝내고 영화같은 결말을 관객으로 본 느낌 입니다. 응원합니다"
151,  얼그레이,9:31 그럼 나 처음 받는거였는데 에서 개오열함 진짜ㅜㅠㅠㅠㅠㅠㅠ 그 문자 한 통 얼마나 받아보고 싶었을까 얼마나 맘고생 했을까
152,  조홍륜,진짜 인생은 타이밍이다.....
153,  성이름,이거 방송끝난지 두시간인데 규민이 팔로워 1.5만 늘었다... ㄷ ㄷ ㄷ 다들 같은 맘이구나.. 난 원래 규민빠이긴 했지만... 악플 정도가 너무 심해서 좀 그랬는데 이제라듀..ㅠㅜ 좋다.... +)))) 환연 출연자들끼리 다 맞팔했네요!!!!!!
154,  나는개숭이,환승연애 최고의 빌런이라고 생각했던 규민이 진짜 큰사람이고 그릇이 큰 사람이라고 생각이드는 사람정말로 해은이 잘 되길 빌고 좋은사람 만나기를 바라며 해은에게 전화한거 같다.둘의 대화가 너무 건강하다둘다 좋은길만 걷길
155,  까비,"첫사랑은 누구에게나 너무나도 예쁘고 아픈 추억이구나,,"
156,  이마리,어쩌면 끝내는 게 아름다운 추억일 수 있다
157,  choix,"해은언니 고마워요, 언니가 많은 고민과 눈물 끝에 했던 최종 선택 덕분에 저도 아쉬움이 많이 남았던 제 첫 연애를 보내줄 수 있었어요. 저도 행복할게요. "
158,  김재원,서로 진심이 전해지네..
159,  KIM SUA,잘가라는말에 괜히 감정이입되서 내가 눈물남ㅜ두사람 다 좋은사람 만나길..
160,  ㅊ,규민이 솔직하게 말하는거보니까 정말 좋은사람인게 느껴짐.. 그동안 참고 아무렇지않은척하고 일부러 차갑게 대한게 진심이 아니었어서 다행이다그리고 시간이 좀 더 있었으면 진짜 더 좋았을듯 ㅠㅜ 너무 아쉽..
161,  율쓰,규민이가 진짜 진국인 사람이다...
162,  아임,이걸보고 사랑에 마무리도 참 중요하다는걸 느꼈다 많은 사람들이 마지막에는 마음이 식어서 정떨어져서 그냥 매몰차게 돌아서거나 통보하거나 이별하게되는데 이별에도 잘 헤어지고 마무리할수있는 유예기간이 필요한거 같다
163,  거운즐,"해은은 착한 사람은 아닌 것 같음.  착한 사람이라기 보단 굉장히 자기 감정이 중요한 사람임. 순간순간 감정에 따라 행동하는 사람. 본인의 실수가 헤어짐의 원인이 되었던 건데 끝까지 ' 너가 제일 나쁜 사람이야.  잘 가지마.' 이런 말 하는 거보고 그렇게 좋은 사람은 아니구나 싶었음.  그리고 본인이 사랑받는 것이 아주 중요하고 눈물 흘리는 장면에서도 본인이 엉엉 울때 규민씨가 휴지 갖다대주고 눈물 닦아줬는데 규민이가 울때는 '왜 울어?' 하면서 멀뚱 쳐다보는 것 보고 어떤 연애를 했는지 알겠더라. 챙김 받는 연애, 아빠-딸 같은 느낌이었을 것 같음.  정말 거의 매회 엉엉 우는데 실제 가까이 하면 같이 우울함 전염될 확률 높음. 자기 감정이 제일 중요해서 징징징징"
164,  jju B,난.. 그냥... 둘이 만나기를 바라기도 했다. 서로의 전부였을텐데 ...ㅠㅠ 맘이 너무아프다..
165,  꽃사솜,누구의 잘잘못 따지기보다 그냥 각자의 자리에서 다 행복했으면 좋겠어요 규민이도 좋은사람만나서 행복하길
166,  Ge Lim,노래가 진짜 대박이었음 나의첫사랑 나오는 순간 개오열
167,  장지원,ㅠㅠ 진짜 마음 찢어지는줄 알았다
168,  coke j,20편의 방송이 그들의 7년을 깍아내릴순 없다고봅니다 . 왜 규민이를 욕하는지 모르겠어요 둘다 응원합니다
169,  j진실,슬프다..이거 보며 후폭풍이 오네정말 내가 5년동안 만난 사람 너무너무 .좋은 사람이었구나고맙고 그립고 뭉클하규 아련하다
170,  Hahee Yoon,두분 전 국민이 예쁘게 만났던거 이제 다 아니까 이제 각자의 자리에서 행복만 하길 둘다 너무 고생 많았어요
171,  Kate,"20대에 해은, 규민 같은 오랜 첫 연애를 한 입장에서.. 이 둘을 보며 옛 생각이 많이 났다. 사람들이 진정한 사랑이란 변할 리 없다고 생각하지만, 애석하게도 사랑 또한 인간의 감정인지라 시간이 지나면 어떤 형태로든 변하게 마련이다.. 게다가 20대 초반 둘 다 어린 나이에 만나 학생으로 연애를 하다가 졸업, 취업, 사회 초년생이란 격변기를 지나며 서로 변하고 엇갈리는 상황들, 고민, 현실이란 길고 고된 허들을 넘다보면 나라는 사람 자체도 변하고 서로의 관계도 변하는 건 노력으로, 미련으로 어찌해볼 수 있는 게 아니더라..시간이 지나면서 옅어지고, 그러다 보면 잊은 듯 살다가도 가끔씩 문득문득 떠오르는 얼굴에 가슴 시린 그리움도 어느 순간이 되면 계절마다 한 번씩 찾아오는 감기처럼 익숙해지기도 하고… 그럴 때면 또 한 번씩 진심으로 그 사람의 행복을 빌게 되고 응원하게 되고.. 그런 인연으로 남는 것 같다. 해은, 규민 커플의 마지막을 보면서 특히 묘하게 어긋나는 서로의 감정, 상황, 타이밍에 안타까웠지만, 사랑도 결국 한 계절에 피고 지는 꽃 같아서 시들다 진 꽃이 다시 피어날 수 없는 것 같다. 부디 두 사람 모두 각자의 자리에서 더 행복하길…"
172,  ㅇㅇ,10:05 뻥 아니냐는 게 왤케 맘아프냐
173,  볶음밥쟁이,와 진짜 눈물나ㅜㅜㅜㅜ
174,  Hani,애고..정말 해은이 우는맘도 이해가고 마음이 찢어질것같아 같이 오열하고 ㅠㅠ 규민이 또한 이해 안가는게 아닌.. 정말 남녀가 서로를 좋아해도 그 안에 무수히 많은 복잡함이 존재해.. 이별하게되는듯 .. 타이밍이란 참 ..ㅠㅠㅠㅠㅠㅠ
175,  이른민무늬토기.,규민은 해은을 너무 사랑하지만 자기한테있으면 둘은 불행하기에 또 20대초에 그때만큼 사랑해줄 자신이 없었기에 관계를 끊으려하는것 같았네..애초에 실망해서 헤어지긴 했지만 7년이란 시간이 자고 일어난다고 없어지는것도 아니고 얼굴만보면 풀리고 다시 그립고 했겠지 내가볼땐 처음볼때부터 규민은 해은을 보고싶어했을수도.. 그래도 붙잡지 않고 보내주는 규민이 진짜 멋있었다 이유없이 가스라이팅한다는 사람은 이거보면알지 처음부터 내내 고민스러웠다. 미련을 나한테 보이면서 현규한테도 좋아하는 티를 낸다 질투가 났다 ..규민은 자기가 현규와의 관계를 망치고 싶지않았다.. 자기도 알거든 돈많고 잘생기고 짧은 시간이지만 현규가 해은한테 진심이란걸  느끼게끔 보여줘서 보내준거다..
176,  Joy K,봐도 봐도 슬프다 진짜
177,  민수,문자 얘기하는 게 너무 기억에 남음..... ㅠㅠㅠㅠ
178,  YouKim,"해은 규민 둘다 서로를 사랑해서 흘리는 눈물이 아니라 그저 오래만난 정, 미련, 아쉬움 뿐일거다. 규민이는 그걸 알아서 흔들려도 티내지 않았을 거고 해은이는 본인의 감정을 다 표현한거 뿐.. 현규가 초반에 있었다면 해은이는 규민이한테 이렇게 까지 미련이 크지 않았을게 뻔하다.  많이 힘들어한 해은이도 일상생활로 돌아가면 규민이는 금방 잊히고 그저 옛 연인으로서 추억만 남을뿐일거다.."
179,  나연,진짜 규민이가 어제 문자가 있었으면 보냈을거라고 거기서 찐 너무 슬펐어ㅠㅠㅠ
